"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**";"Version1.1.1.";1;"Version1.1.1.";;;
2;"U1";"SOP-16";1;"MAX232E";;;
3;"C1,C4,C3,C2,C5";"0603C";5;"4u7";;;
4;",,,,,,,,,,,,,,";"buzzardLabel";15;"";;;
5;"H2,H4,H1,H3";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
6;"REF**";"Logo-Front-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
7;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
8;"K2,K1";"TERMINAL_KF235-5.0-3P";2;"TERMINAL_KF235-5.0-3P";;;
9;"R1";"0402R";1;"2k2";;;
10;"K3";"HEADER_MALE_6X1";1;"HEADER_MALE_6X1";;;
11;"JP1";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
12;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
13;"D1";"0402LED";1;"purple";;;
14;"REF**";"Logo-Back-SolderedFULL-20mm";1;"Logo-Front-SolderedFULL-20mm";;;
